"Department","Vote","App ID","Parent ID","Appropriation Name","Category Name","Group Type","IsMCA","Appropriation Type","Restriction Type","Functional Classification","Amount ($000)","Year","Amount Type","Periodicity","Current Scope"
"Ministry of Health","Health",7627,7627,"Health and Disability Support Services - West Coast DHB","Health and Disability Support Services - West Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",106821,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from West Coast DHB."
"Ministry of Health","Health",7627,7627,"Health and Disability Support Services - West Coast DHB","Health and Disability Support Services - West Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",109818,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from West Coast DHB."
"Ministry of Health","Health",7627,7627,"Health and Disability Support Services - West Coast DHB","Health and Disability Support Services - West Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",112998,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from West Coast DHB."
"Ministry of Health","Health",7627,7627,"Health and Disability Support Services - West Coast DHB","Health and Disability Support Services - West Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",114610,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from West Coast DHB."
"Ministry of Health","Health",7627,7627,"Health and Disability Support Services - West Coast DHB","Health and Disability Support Services - West Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",117472,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from West Coast DHB."
"Ministry of Health","Health",7627,7627,"Health and Disability Support Services - West Coast DHB","Health and Disability Support Services - West Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",119159,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from West Coast DHB."
"Ministry of Health","Health",7628,7628,"Health and Disability Support Services - Canterbury DHB","Health and Disability Support Services - Canterbury DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1078987,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Canterbury DHB."
"Ministry of Health","Health",7628,7628,"Health and Disability Support Services - Canterbury DHB","Health and Disability Support Services - Canterbury DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1128270,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Canterbury DHB."
"Ministry of Health","Health",7628,7628,"Health and Disability Support Services - Canterbury DHB","Health and Disability Support Services - Canterbury DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1178937,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Canterbury DHB."
"Ministry of Health","Health",7628,7628,"Health and Disability Support Services - Canterbury DHB","Health and Disability Support Services - Canterbury DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1221996,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Canterbury DHB."
"Ministry of Health","Health",7628,7628,"Health and Disability Support Services - Canterbury DHB","Health and Disability Support Services - Canterbury DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1252766,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Canterbury DHB."
"Ministry of Health","Health",7628,7628,"Health and Disability Support Services - Canterbury DHB","Health and Disability Support Services - Canterbury DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1255285,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Canterbury DHB."
"Ministry of Health","Health",7629,7629,"Health and Disability Support Services - Hutt DHB","Health and Disability Support Services - Hutt DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",308597,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hutt DHB."
"Ministry of Health","Health",7629,7629,"Health and Disability Support Services - Hutt DHB","Health and Disability Support Services - Hutt DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",320061,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hutt DHB."
"Ministry of Health","Health",7629,7629,"Health and Disability Support Services - Hutt DHB","Health and Disability Support Services - Hutt DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",333279,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hutt DHB."
"Ministry of Health","Health",7629,7629,"Health and Disability Support Services - Hutt DHB","Health and Disability Support Services - Hutt DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",342306,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hutt DHB."
"Ministry of Health","Health",7629,7629,"Health and Disability Support Services - Hutt DHB","Health and Disability Support Services - Hutt DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",350077,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hutt DHB."
"Ministry of Health","Health",7629,7629,"Health and Disability Support Services - Hutt DHB","Health and Disability Support Services - Hutt DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",357039,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hutt DHB."
"Ministry of Health","Health",7630,7630,"Health and Disability Support Services - Capital and Coast DHB","Health and Disability Support Services - Capital and Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",569196,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Capital and Coast DHB."
"Ministry of Health","Health",7630,7630,"Health and Disability Support Services - Capital and Coast DHB","Health and Disability Support Services - Capital and Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",597437,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Capital and Coast DHB."
"Ministry of Health","Health",7630,7630,"Health and Disability Support Services - Capital and Coast DHB","Health and Disability Support Services - Capital and Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",623437,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Capital and Coast DHB."
"Ministry of Health","Health",7630,7630,"Health and Disability Support Services - Capital and Coast DHB","Health and Disability Support Services - Capital and Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",643506,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Capital and Coast DHB."
"Ministry of Health","Health",7630,7630,"Health and Disability Support Services - Capital and Coast DHB","Health and Disability Support Services - Capital and Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",672682,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Capital and Coast DHB."
"Ministry of Health","Health",7630,7630,"Health and Disability Support Services - Capital and Coast DHB","Health and Disability Support Services - Capital and Coast DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",678655,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Capital and Coast DHB."
"Ministry of Health","Health",7631,7631,"Health and Disability Support Services - Wairarapa DHB","Health and Disability Support Services - Wairarapa DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",105025,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Wairarapa DHB."
"Ministry of Health","Health",7631,7631,"Health and Disability Support Services - Wairarapa DHB","Health and Disability Support Services - Wairarapa DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",108153,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Wairarapa DHB."
"Ministry of Health","Health",7631,7631,"Health and Disability Support Services - Wairarapa DHB","Health and Disability Support Services - Wairarapa DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",112592,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Wairarapa DHB."
"Ministry of Health","Health",7631,7631,"Health and Disability Support Services - Wairarapa DHB","Health and Disability Support Services - Wairarapa DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",115965,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Wairarapa DHB."
"Ministry of Health","Health",7631,7631,"Health and Disability Support Services - Wairarapa DHB","Health and Disability Support Services - Wairarapa DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",119821,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Wairarapa DHB."
"Ministry of Health","Health",7631,7631,"Health and Disability Support Services - Wairarapa DHB","Health and Disability Support Services - Wairarapa DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",122138,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Wairarapa DHB."
"Ministry of Health","Health",7632,7632,"Health and Disability Support Services - Hawkes Bay DHB","Health and Disability Support Services - Hawkes Bay DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",378247,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hawkes Bay DHB."
"Ministry of Health","Health",7632,7632,"Health and Disability Support Services - Hawkes Bay DHB","Health and Disability Support Services - Hawkes Bay DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",392959,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hawkes Bay DHB."
"Ministry of Health","Health",7632,7632,"Health and Disability Support Services - Hawkes Bay DHB","Health and Disability Support Services - Hawkes Bay DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",401785,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hawkes Bay DHB."
"Ministry of Health","Health",7632,7632,"Health and Disability Support Services - Hawkes Bay DHB","Health and Disability Support Services - Hawkes Bay DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",419205,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hawkes Bay DHB."
"Ministry of Health","Health",7632,7632,"Health and Disability Support Services - Hawkes Bay DHB","Health and Disability Support Services - Hawkes Bay DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",427971,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hawkes Bay DHB."
"Ministry of Health","Health",7632,7632,"Health and Disability Support Services - Hawkes Bay DHB","Health and Disability Support Services - Hawkes Bay DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",438248,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Hawkes Bay DHB."
"Ministry of Health","Health",7633,7633,"Health and Disability Support Services - Whanganui DHB","Health and Disability Support Services - Whanganui DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",180492,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Whanganui DHB."
"Ministry of Health","Health",7633,7633,"Health and Disability Support Services - Whanganui DHB","Health and Disability Support Services - Whanganui DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",185626,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Whanganui DHB."
"Ministry of Health","Health",7633,7633,"Health and Disability Support Services - Whanganui DHB","Health and Disability Support Services - Whanganui DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",191186,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Whanganui DHB."
"Ministry of Health","Health",7633,7633,"Health and Disability Support Services - Whanganui DHB","Health and Disability Support Services - Whanganui DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",195688,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Whanganui DHB."
"Ministry of Health","Health",7633,7633,"Health and Disability Support Services - Whanganui DHB","Health and Disability Support Services - Whanganui DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",198470,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Whanganui DHB."
"Ministry of Health","Health",7633,7633,"Health and Disability Support Services - Whanganui DHB","Health and Disability Support Services - Whanganui DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",201641,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Whanganui DHB."
"Ministry of Health","Health",7634,7634,"Health and Disability Support Services - MidCentral DHB","Health and Disability Support Services - MidCentral DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",396915,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from MidCentral DHB."
"Ministry of Health","Health",7634,7634,"Health and Disability Support Services - MidCentral DHB","Health and Disability Support Services - MidCentral DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",409407,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from MidCentral DHB."
"Ministry of Health","Health",7634,7634,"Health and Disability Support Services - MidCentral DHB","Health and Disability Support Services - MidCentral DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",424655,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from MidCentral DHB."
"Ministry of Health","Health",7634,7634,"Health and Disability Support Services - MidCentral DHB","Health and Disability Support Services - MidCentral DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",440480,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from MidCentral DHB."
"Ministry of Health","Health",7634,7634,"Health and Disability Support Services - MidCentral DHB","Health and Disability Support Services - MidCentral DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",450449,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from MidCentral DHB."
"Ministry of Health","Health",7634,7634,"Health and Disability Support Services - MidCentral DHB","Health and Disability Support Services - MidCentral DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",457062,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from MidCentral DHB."
"Ministry of Health","Health",7635,7635,"Health and Disability Support Services - Bay of Plenty DHB","Health and Disability Support Services - Bay of Plenty DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",523202,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Bay of Plenty DHB."
"Ministry of Health","Health",7635,7635,"Health and Disability Support Services - Bay of Plenty DHB","Health and Disability Support Services - Bay of Plenty DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",544162,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Bay of Plenty DHB."
"Ministry of Health","Health",7635,7635,"Health and Disability Support Services - Bay of Plenty DHB","Health and Disability Support Services - Bay of Plenty DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",567609,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Bay of Plenty DHB."
"Ministry of Health","Health",7635,7635,"Health and Disability Support Services - Bay of Plenty DHB","Health and Disability Support Services - Bay of Plenty DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",584772,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Bay of Plenty DHB."
"Ministry of Health","Health",7635,7635,"Health and Disability Support Services - Bay of Plenty DHB","Health and Disability Support Services - Bay of Plenty DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",594254,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Bay of Plenty DHB."
"Ministry of Health","Health",7635,7635,"Health and Disability Support Services - Bay of Plenty DHB","Health and Disability Support Services - Bay of Plenty DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",613338,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Bay of Plenty DHB."
"Ministry of Health","Health",7636,7636,"Health and Disability Support Services - Tairawhiti DHB","Health and Disability Support Services - Tairawhiti DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",124073,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Tairawhiti DHB."
"Ministry of Health","Health",7636,7636,"Health and Disability Support Services - Tairawhiti DHB","Health and Disability Support Services - Tairawhiti DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",128385,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Tairawhiti DHB."
"Ministry of Health","Health",7636,7636,"Health and Disability Support Services - Tairawhiti DHB","Health and Disability Support Services - Tairawhiti DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",133819,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Tairawhiti DHB."
"Ministry of Health","Health",7636,7636,"Health and Disability Support Services - Tairawhiti DHB","Health and Disability Support Services - Tairawhiti DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",137333,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Tairawhiti DHB."
"Ministry of Health","Health",7636,7636,"Health and Disability Support Services - Tairawhiti DHB","Health and Disability Support Services - Tairawhiti DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",141540,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Tairawhiti DHB."
"Ministry of Health","Health",7636,7636,"Health and Disability Support Services - Tairawhiti DHB","Health and Disability Support Services - Tairawhiti DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",143812,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Tairawhiti DHB."
"Ministry of Health","Health",7637,7637,"Health and Disability Support Services - Taranaki DHB","Health and Disability Support Services - Taranaki DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",266194,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Taranaki DHB."
"Ministry of Health","Health",7637,7637,"Health and Disability Support Services - Taranaki DHB","Health and Disability Support Services - Taranaki DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",275360,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Taranaki DHB."
"Ministry of Health","Health",7637,7637,"Health and Disability Support Services - Taranaki DHB","Health and Disability Support Services - Taranaki DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",282559,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Taranaki DHB."
"Ministry of Health","Health",7637,7637,"Health and Disability Support Services - Taranaki DHB","Health and Disability Support Services - Taranaki DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",290877,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Taranaki DHB."
"Ministry of Health","Health",7637,7637,"Health and Disability Support Services - Taranaki DHB","Health and Disability Support Services - Taranaki DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",297729,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Taranaki DHB."
"Ministry of Health","Health",7637,7637,"Health and Disability Support Services - Taranaki DHB","Health and Disability Support Services - Taranaki DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",303148,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Taranaki DHB."
"Ministry of Health","Health",7638,7638,"Health and Disability Support Services - Auckland DHB","Health and Disability Support Services - Auckland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",929801,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Auckland DHB."
"Ministry of Health","Health",7638,7638,"Health and Disability Support Services - Auckland DHB","Health and Disability Support Services - Auckland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",961356,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Auckland DHB."
"Ministry of Health","Health",7638,7638,"Health and Disability Support Services - Auckland DHB","Health and Disability Support Services - Auckland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",992268,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Auckland DHB."
"Ministry of Health","Health",7638,7638,"Health and Disability Support Services - Auckland DHB","Health and Disability Support Services - Auckland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1051151,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Auckland DHB."
"Ministry of Health","Health",7638,7638,"Health and Disability Support Services - Auckland DHB","Health and Disability Support Services - Auckland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1081856,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Auckland DHB."
"Ministry of Health","Health",7638,7638,"Health and Disability Support Services - Auckland DHB","Health and Disability Support Services - Auckland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1077847,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Auckland DHB."
"Ministry of Health","Health",7639,7639,"Health and Disability Support Services - Waikato DHB","Health and Disability Support Services - Waikato DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",840495,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waikato DHB."
"Ministry of Health","Health",7639,7639,"Health and Disability Support Services - Waikato DHB","Health and Disability Support Services - Waikato DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",872148,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waikato DHB."
"Ministry of Health","Health",7639,7639,"Health and Disability Support Services - Waikato DHB","Health and Disability Support Services - Waikato DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",918893,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waikato DHB."
"Ministry of Health","Health",7639,7639,"Health and Disability Support Services - Waikato DHB","Health and Disability Support Services - Waikato DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",948108,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waikato DHB."
"Ministry of Health","Health",7639,7639,"Health and Disability Support Services - Waikato DHB","Health and Disability Support Services - Waikato DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",984494,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waikato DHB."
"Ministry of Health","Health",7639,7639,"Health and Disability Support Services - Waikato DHB","Health and Disability Support Services - Waikato DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1009624,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waikato DHB."
"Ministry of Health","Health",7640,7640,"Health and Disability Support Services - Lakes DHB","Health and Disability Support Services - Lakes DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",244578,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Lakes DHB."
"Ministry of Health","Health",7640,7640,"Health and Disability Support Services - Lakes DHB","Health and Disability Support Services - Lakes DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",251977,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Lakes DHB."
"Ministry of Health","Health",7640,7640,"Health and Disability Support Services - Lakes DHB","Health and Disability Support Services - Lakes DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",259791,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Lakes DHB."
"Ministry of Health","Health",7640,7640,"Health and Disability Support Services - Lakes DHB","Health and Disability Support Services - Lakes DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",268494,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Lakes DHB."
"Ministry of Health","Health",7640,7640,"Health and Disability Support Services - Lakes DHB","Health and Disability Support Services - Lakes DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",273226,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Lakes DHB."
"Ministry of Health","Health",7640,7640,"Health and Disability Support Services - Lakes DHB","Health and Disability Support Services - Lakes DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",277660,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Lakes DHB."
"Ministry of Health","Health",7641,7641,"Health and Disability Support Services - Northland DHB","Health and Disability Support Services - Northland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",418039,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Northland DHB."
"Ministry of Health","Health",7641,7641,"Health and Disability Support Services - Northland DHB","Health and Disability Support Services - Northland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",430962,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Northland DHB."
"Ministry of Health","Health",7641,7641,"Health and Disability Support Services - Northland DHB","Health and Disability Support Services - Northland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",447987,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Northland DHB."
"Ministry of Health","Health",7641,7641,"Health and Disability Support Services - Northland DHB","Health and Disability Support Services - Northland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",465630,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Northland DHB."
"Ministry of Health","Health",7641,7641,"Health and Disability Support Services - Northland DHB","Health and Disability Support Services - Northland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",476204,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Northland DHB."
"Ministry of Health","Health",7641,7641,"Health and Disability Support Services - Northland DHB","Health and Disability Support Services - Northland DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",485966,2015,"Main Estimates","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Northland DHB."
"Ministry of Health","Health",7642,7642,"Health and Disability Support Services - Waitemata DHB","Health and Disability Support Services - Waitemata DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1074747,2010,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waitemata DHB."
"Ministry of Health","Health",7642,7642,"Health and Disability Support Services - Waitemata DHB","Health and Disability Support Services - Waitemata DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1124558,2011,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waitemata DHB."
"Ministry of Health","Health",7642,7642,"Health and Disability Support Services - Waitemata DHB","Health and Disability Support Services - Waitemata DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1173790,2012,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waitemata DHB."
"Ministry of Health","Health",7642,7642,"Health and Disability Support Services - Waitemata DHB","Health and Disability Support Services - Waitemata DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1217875,2013,"Actuals","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waitemata DHB."
"Ministry of Health","Health",7642,7642,"Health and Disability Support Services - Waitemata DHB","Health and Disability Support Services - Waitemata DHB","Single","No","Non-Departmental Output Expenses",NA,"Health",1258963,2014,"Estimated Actual","A","Funding of personal and mental health services including services for the health of older people, provision of hospital and related services and management outputs from Waitemata DHB."
