"Department","Vote","App id","MCOA id","Description","Appropriation Type","Output Expense Type","Functional Classification","Amount ($000)","Year","Amount_Type_Desc","Periodicity"
"Ministry of Economic Development","Economic Development",9034,9034,"Stadium Development","Non-Departmental Capital Expenditure",NA,"No Functional Classification",14000,2007,"Actuals","A"
"Ministry of Economic Development","Economic Development",9334,9334,"Loan to the Eden Park Redevelopment Board","Non-Departmental Capital Expenditure",NA,"No Functional Classification",184604,2008,"Actuals","A"
"Ministry of Economic Development","Economic Development",9608,9608,"Purchase of Queen's Wharf, Auckland","Non-Departmental Capital Expenditure",NA,"No Functional Classification",20000,2010,"Actuals","A"
"Ministry of Economic Development","Economic Development",10077,10077,"Temporary Rugby World Cup showcase and festival building on Auckland's Queens Wharf","Non-Departmental Capital Expenditure",NA,"No Functional Classification",8000,2011,"Estimated Actual","A"
"Ministry of Economic Development","Economic Development",10077,10077,"Temporary Rugby World Cup showcase and festival building on Auckland's Queens Wharf","Non-Departmental Capital Expenditure",NA,"No Functional Classification",1800,2012,"Main Estimates","A"
"Ministry of Economic Development","Economic Development",9204,9204,"Ministry of Economic Development - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1480,2008,"Actuals","A"
"Ministry of Economic Development","Economic Development",9204,9204,"Ministry of Economic Development - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",6738,2009,"Actuals","A"
"Ministry of Economic Development","Economic Development",9204,9204,"Ministry of Economic Development - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",9603,2010,"Actuals","A"
"Ministry of Economic Development","Economic Development",9204,9204,"Ministry of Economic Development - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",10772,2011,"Estimated Actual","A"
"Ministry of Economic Development","Economic Development",9204,9204,"Ministry of Economic Development - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",14788,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",135635,2007,"Actuals","A"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",143697,2008,"Actuals","A"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",158690,2009,"Actuals","A"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",153736,2010,"Actuals","A"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",156379,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",165906,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",5546,2007,"Actuals","A"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",6005,2008,"Actuals","A"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",5536,2009,"Actuals","A"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",5360,2010,"Actuals","A"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",5643,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",5661,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",111014,2007,"Actuals","A"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",119198,2008,"Actuals","A"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",121048,2009,"Actuals","A"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",123325,2010,"Actuals","A"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",129444,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",142279,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",13487,2007,"Actuals","A"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",13748,2008,"Actuals","A"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",13784,2009,"Actuals","A"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",14810,2010,"Actuals","A"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",16015,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",15363,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",4676,2007,"Actuals","A"
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",6011,2008,"Actuals","A"
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",6289,2009,"Actuals","A"
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",4859,2010,"Actuals","A"
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",4924,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",5823,2012,"Main Estimates","A"
"Department of Conservation","Conservation",8616,8616,"Recreational Opportunities Review","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",808,2007,"Actuals","A"
"Department of Conservation","Conservation",8616,8616,"Recreational Opportunities Review","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",516,2008,"Actuals","A"
"Department of Conservation","Conservation",8616,8616,"Recreational Opportunities Review","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",334,2009,"Actuals","A"
"Department of Conservation","Conservation",8616,8616,"Recreational Opportunities Review","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",278,2010,"Actuals","A"
"Department of Conservation","Conservation",8616,8616,"Recreational Opportunities Review","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",350,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management Strategies","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",2013,2007,"Actuals","A"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management Strategies","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",1982,2008,"Actuals","A"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management Strategies","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",2553,2009,"Actuals","A"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management Strategies","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",2949,2010,"Actuals","A"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management Strategies","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",2865,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management Strategies","Departmental Output Expenses",NA,"Heritage, Culture & Recreation",2998,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7855,7855,"Recovery from February 2011 Christchurch Earthquake","Departmental Other Expenses",NA,"Heritage, Culture & Recreation",1500,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",11568,2007,"Actuals","A"
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",20651,2008,"Actuals","A"
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",50475,2009,"Actuals","A"
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",10258,2010,"Actuals","A"
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",5528,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",16793,2012,"Main Estimates","A"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",2138,2007,"Actuals","A"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",1406,2008,"Actuals","A"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",1439,2009,"Actuals","A"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",1450,2010,"Actuals","A"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",1506,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",1506,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7738,7738,"NZ Biodiversity Funds","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",2588,2007,"Actuals","A"
"Department of Conservation","Conservation",7738,7738,"NZ Biodiversity Funds","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",2970,2008,"Actuals","A"
"Department of Conservation","Conservation",7738,7738,"NZ Biodiversity Funds","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",3010,2009,"Actuals","A"
"Department of Conservation","Conservation",7738,7738,"NZ Biodiversity Funds","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",4246,2010,"Actuals","A"
"Department of Conservation","Conservation",7738,7738,"NZ Biodiversity Funds","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",3940,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",7738,7738,"NZ Biodiversity Funds","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",10347,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pakaitore","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",22,2007,"Actuals","A"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pakaitore","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",22,2008,"Actuals","A"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pakaitore","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",22,2009,"Actuals","A"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pakaitore","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",22,2010,"Actuals","A"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pakaitore","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",23,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pakaitore","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",23,2012,"Main Estimates","A"
"Department of Conservation","Conservation",8888,8888,"Stewart Island Infrastructure","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",722,2007,"Actuals","A"
"Department of Conservation","Conservation",8888,8888,"Stewart Island Infrastructure","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",84,2009,"Actuals","A"
"Department of Conservation","Conservation",8888,8888,"Stewart Island Infrastructure","Non-Departmental Output Expenses",NA,"Heritage, Culture & Recreation",769,2012,"Main Estimates","A"
"Department of Conservation","Conservation",140,140,"Compensation Payments","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",18,2008,"Actuals","A"
"Department of Conservation","Conservation",140,140,"Compensation Payments","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",30,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",140,140,"Compensation Payments","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",60,2012,"Main Estimates","A"
"Department of Conservation","Conservation",142,142,"Lake Taupo Access Fee","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",709,2007,"Actuals","A"
"Department of Conservation","Conservation",142,142,"Lake Taupo Access Fee","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",300,2008,"Actuals","A"
"Department of Conservation","Conservation",144,144,"Waikaremoana Lakebed Lease","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",124,2007,"Actuals","A"
"Department of Conservation","Conservation",144,144,"Waikaremoana Lakebed Lease","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",124,2008,"Actuals","A"
"Department of Conservation","Conservation",144,144,"Waikaremoana Lakebed Lease","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",378,2009,"Actuals","A"
"Department of Conservation","Conservation",144,144,"Waikaremoana Lakebed Lease","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",241,2010,"Actuals","A"
"Department of Conservation","Conservation",144,144,"Waikaremoana Lakebed Lease","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",241,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",144,144,"Waikaremoana Lakebed Lease","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",241,2012,"Main Estimates","A"
"Department of Conservation","Conservation",1246,1246,"Purchase and Development of Reserves","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",808,2007,"Actuals","A"
"Department of Conservation","Conservation",1246,1246,"Purchase and Development of Reserves","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",2424,2008,"Actuals","A"
"Department of Conservation","Conservation",1246,1246,"Purchase and Development of Reserves","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",1602,2009,"Actuals","A"
"Department of Conservation","Conservation",5539,5539,"Subscriptions to International Organisations","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",172,2007,"Actuals","A"
"Department of Conservation","Conservation",5539,5539,"Subscriptions to International Organisations","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",230,2008,"Actuals","A"
"Department of Conservation","Conservation",5539,5539,"Subscriptions to International Organisations","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",303,2009,"Actuals","A"
"Department of Conservation","Conservation",5539,5539,"Subscriptions to International Organisations","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",337,2010,"Actuals","A"
"Department of Conservation","Conservation",5539,5539,"Subscriptions to International Organisations","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",405,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",5539,5539,"Subscriptions to International Organisations","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",405,2012,"Main Estimates","A"
"Department of Conservation","Conservation",7038,7038,"Matauranga Maori Fund","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",664,2007,"Actuals","A"
"Department of Conservation","Conservation",7038,7038,"Matauranga Maori Fund","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",522,2008,"Actuals","A"
"Department of Conservation","Conservation",7038,7038,"Matauranga Maori Fund","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",283,2009,"Actuals","A"
"Department of Conservation","Conservation",7038,7038,"Matauranga Maori Fund","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",662,2010,"Actuals","A"
"Department of Conservation","Conservation",7038,7038,"Matauranga Maori Fund","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",600,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",7038,7038,"Matauranga Maori Fund","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",804,2012,"Main Estimates","A"
"Department of Conservation","Conservation",8618,8618,"Payment of Rates on Properties for Concessionaires","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",497,2007,"Actuals","A"
"Department of Conservation","Conservation",8618,8618,"Payment of Rates on Properties for Concessionaires","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",538,2008,"Actuals","A"
"Department of Conservation","Conservation",8618,8618,"Payment of Rates on Properties for Concessionaires","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",591,2009,"Actuals","A"
"Department of Conservation","Conservation",8618,8618,"Payment of Rates on Properties for Concessionaires","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",617,2010,"Actuals","A"
"Department of Conservation","Conservation",8618,8618,"Payment of Rates on Properties for Concessionaires","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",643,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",8618,8618,"Payment of Rates on Properties for Concessionaires","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",839,2012,"Main Estimates","A"
"Department of Conservation","Conservation",8814,8814,"Vested Coastal Marine Areas Compensation","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",17,2009,"Actuals","A"
"Department of Conservation","Conservation",8814,8814,"Vested Coastal Marine Areas Compensation","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",30,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",8815,8815,"Depreciation on Fencing Assets","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",4440,2007,"Actuals","A"
"Department of Conservation","Conservation",8815,8815,"Depreciation on Fencing Assets","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",4938,2008,"Actuals","A"
"Department of Conservation","Conservation",8816,8816,"Depreciation - Crown Property, Plant and Equipment","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",658,2007,"Actuals","A"
"Department of Conservation","Conservation",8816,8816,"Depreciation - Crown Property, Plant and Equipment","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",735,2008,"Actuals","A"
"Department of Conservation","Conservation",8816,8816,"Depreciation - Crown Property, Plant and Equipment","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",762,2009,"Actuals","A"
"Department of Conservation","Conservation",8816,8816,"Depreciation - Crown Property, Plant and Equipment","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",756,2010,"Actuals","A"
"Department of Conservation","Conservation",8816,8816,"Depreciation - Crown Property, Plant and Equipment","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",635,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",8816,8816,"Depreciation - Crown Property, Plant and Equipment","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",934,2012,"Main Estimates","A"
"Department of Conservation","Conservation",8817,8817,"Provision for Bad and Doubtful Debts","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",1,2007,"Actuals","A"
"Department of Conservation","Conservation",8817,8817,"Provision for Bad and Doubtful Debts","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",13,2008,"Actuals","A"
"Department of Conservation","Conservation",8817,8817,"Provision for Bad and Doubtful Debts","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",89,2009,"Actuals","A"
"Department of Conservation","Conservation",8817,8817,"Provision for Bad and Doubtful Debts","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",2,2010,"Actuals","A"
"Department of Conservation","Conservation",8817,8817,"Provision for Bad and Doubtful Debts","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",100,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",8817,8817,"Provision for Bad and Doubtful Debts","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",100,2012,"Main Estimates","A"
"Department of Conservation","Conservation",9002,9002,"World Heritage Committee - NZ Hosting Meeting and Assuming Chairmanship","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",2246,2007,"Actuals","M"
"Department of Conservation","Conservation",9002,9002,"World Heritage Committee - NZ Hosting Meeting and Assuming Chairmanship","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",1031,2008,"Actuals","M"
"Department of Conservation","Conservation",9002,9002,"World Heritage Committee - NZ Hosting Meeting and Assuming Chairmanship","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",1,2009,"Actuals","M"
"Department of Conservation","Conservation",9057,9057,"Redress payments under Foreshore and Seabed Act 2004","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",878,2007,"Actuals","A"
"Department of Conservation","Conservation",9057,9057,"Redress payments under Foreshore and Seabed Act 2004","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",-440,2008,"Actuals","A"
"Department of Conservation","Conservation",9057,9057,"Redress payments under Foreshore and Seabed Act 2004","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",562,2010,"Actuals","A"
"Department of Conservation","Conservation",10057,10057,"Loss on Disposal of Crown Property, Plant and Equipment","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",50,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",10057,10057,"Loss on Disposal of Crown Property, Plant and Equipment","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",2575,2012,"Main Estimates","A"
"Department of Conservation","Conservation",10156,10156,"Vesting of Reserves","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",9450,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",10156,10156,"Vesting of Reserves","Non-Departmental Other Expenses",NA,"Heritage, Culture & Recreation",650,2012,"Main Estimates","A"
"Department of Conservation","Conservation",8544,8544,"Crown Land Acquisitions","Non-Departmental Capital Expenditure",NA,"No Functional Classification",44,2007,"Actuals","A"
"Department of Conservation","Conservation",8544,8544,"Crown Land Acquisitions","Non-Departmental Capital Expenditure",NA,"No Functional Classification",45464,2008,"Actuals","A"
"Department of Conservation","Conservation",8544,8544,"Crown Land Acquisitions","Non-Departmental Capital Expenditure",NA,"No Functional Classification",427,2009,"Actuals","A"
"Department of Conservation","Conservation",8544,8544,"Crown Land Acquisitions","Non-Departmental Capital Expenditure",NA,"No Functional Classification",9159,2010,"Actuals","A"
"Department of Conservation","Conservation",8544,8544,"Crown Land Acquisitions","Non-Departmental Capital Expenditure",NA,"No Functional Classification",6100,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",8544,8544,"Crown Land Acquisitions","Non-Departmental Capital Expenditure",NA,"No Functional Classification",6500,2012,"Main Estimates","A"
"Department of Conservation","Conservation",9185,9185,"Milford Flood Protection","Non-Departmental Capital Expenditure",NA,"No Functional Classification",197,2009,"Actuals","A"
"Department of Conservation","Conservation",9185,9185,"Milford Flood Protection","Non-Departmental Capital Expenditure",NA,"No Functional Classification",853,2010,"Actuals","A"
"Department of Conservation","Conservation",9185,9185,"Milford Flood Protection","Non-Departmental Capital Expenditure",NA,"No Functional Classification",2800,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",9185,9185,"Milford Flood Protection","Non-Departmental Capital Expenditure",NA,"No Functional Classification",6186,2012,"Main Estimates","A"
"Department of Conservation","Conservation",9664,9664,"Purchase and Development of Reserves","Non-Departmental Capital Expenditure",NA,"No Functional Classification",3408,2010,"Actuals","A"
"Department of Conservation","Conservation",9664,9664,"Purchase and Development of Reserves","Non-Departmental Capital Expenditure",NA,"No Functional Classification",880,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",9664,9664,"Purchase and Development of Reserves","Non-Departmental Capital Expenditure",NA,"No Functional Classification",1500,2012,"Main Estimates","A"
"Department of Conservation","Conservation",9205,9205,"Department of Conservation - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",41505,2008,"Actuals","A"
"Department of Conservation","Conservation",9205,9205,"Department of Conservation - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",49632,2009,"Actuals","A"
"Department of Conservation","Conservation",9205,9205,"Department of Conservation - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",45674,2010,"Actuals","A"
"Department of Conservation","Conservation",9205,9205,"Department of Conservation - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",54603,2011,"Estimated Actual","A"
"Department of Conservation","Conservation",9205,9205,"Department of Conservation - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",53066,2012,"Main Estimates","A"
"Crown Law Office","Attorney-General",154,154,"Legal Advice and Representation","Departmental Output Expenses",NA,"Law & Order",18847,2007,"Actuals","A"
"Crown Law Office","Attorney-General",154,154,"Legal Advice and Representation","Departmental Output Expenses",NA,"Law & Order",19599,2008,"Actuals","A"
"Crown Law Office","Attorney-General",154,154,"Legal Advice and Representation","Departmental Output Expenses",NA,"Law & Order",20409,2009,"Actuals","A"
"Crown Law Office","Attorney-General",154,154,"Legal Advice and Representation","Departmental Output Expenses",NA,"Law & Order",17384,2010,"Actuals","A"
"Crown Law Office","Attorney-General",154,154,"Legal Advice and Representation","Departmental Output Expenses",NA,"Law & Order",22900,2011,"Estimated Actual","A"
"Crown Law Office","Attorney-General",154,154,"Legal Advice and Representation","Departmental Output Expenses",NA,"Law & Order",22900,2012,"Main Estimates","A"
"Crown Law Office","Attorney-General",155,155,"Supervision and Conduct of Crown Prosecutions","Departmental Output Expenses",NA,"Law & Order",32119,2007,"Actuals","A"
"Crown Law Office","Attorney-General",155,155,"Supervision and Conduct of Crown Prosecutions","Departmental Output Expenses",NA,"Law & Order",34683,2008,"Actuals","A"
"Crown Law Office","Attorney-General",155,155,"Supervision and Conduct of Crown Prosecutions","Departmental Output Expenses",NA,"Law & Order",37048,2009,"Actuals","A"
"Crown Law Office","Attorney-General",155,155,"Supervision and Conduct of Crown Prosecutions","Departmental Output Expenses",NA,"Law & Order",42378,2010,"Actuals","A"
"Crown Law Office","Attorney-General",155,155,"Supervision and Conduct of Crown Prosecutions","Departmental Output Expenses",NA,"Law & Order",47441,2011,"Estimated Actual","A"
"Crown Law Office","Attorney-General",155,155,"Supervision and Conduct of Crown Prosecutions","Departmental Output Expenses",NA,"Law & Order",48196,2012,"Main Estimates","A"
"Crown Law Office","Attorney-General",156,156,"Conduct of Criminal Appeals","Departmental Output Expenses",NA,"Law & Order",3175,2007,"Actuals","A"
